,price,accommodates,beds,bathrooms,number_of_reviews,rating,lat,lon,superhost,response_rate,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6,bedrooms_7,bedrooms_8,bedrooms_studio,room_type_Entire apartment,room_type_Entire condominium,room_type_Entire loft,room_type_Entire serviced apartment,room_type_Entire townhouse,room_type_Private room in apartment,room_type_others
56,40.0,2,1.0,1.0,78,5.0,40.81847272,-73.93957417,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,42.0,2,1.0,1.0,30,5.0,40.84322491,-73.93566801,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,49.0,2,1.0,2.0,86,4.5,40.77528263,-73.95326373,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,49.0,1,1.0,1.0,101,4.5,40.76731435,-73.95419461,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,47.0,2,1.0,1.0,168,5.0,40.8156052,-73.95264112,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
61,49.0,1,1.0,1.0,0,0.0,40.77504302,-73.97788237,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,40.0,3,3.0,1.0,30,4.5,40.78006066,-73.95153353,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
63,32.0,3,1.0,1.0,174,4.5,40.823061100000004,-73.94687917,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,43.0,1,1.0,1.5,71,4.5,40.78663827,-73.94161455,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,53.0,2,1.0,1.0,189,4.5,40.83333155,-73.94181779,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,40.0,2,1.0,1.0,10,4.5,40.82641056,-73.93882091,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
68,41.0,1,1.0,1.0,16,4.5,40.79862919,-73.94133141,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,52.0,2,1.0,1.0,95,4.5,40.81921882,-73.95275618,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
70,45.0,2,1.0,1.0,0,0.0,40.80651887,-73.94937271,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,50.0,2,3.0,1.0,12,5.0,40.77581712,-73.9516713,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,35.0,5,1.0,1.0,80,5.0,40.83619343,-73.94098612,1,no info,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,30.0,4,2.0,1.0,22,4.0,40.810312599999996,-73.92620558,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,49.0,2,1.0,1.0,0,0.0,40.75866648,-73.99119698,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,44.0,2,1.0,2.0,128,4.5,40.79667523,-73.93378865,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,50.0,2,1.0,1.0,50,4.0,40.76544542,-73.9935665,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,50.0,2,1.0,1.0,74,4.5,40.81443792,-73.92516488,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
78,49.0,1,2.0,1.0,110,4.5,40.766749600000004,-73.95427719,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,50.0,2,2.0,1.0,89,5.0,40.823968900000004,-73.95452841,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
80,46.0,4,2.0,1.0,102,5.0,40.80843039,-73.93721813,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,49.0,2,1.0,1.0,91,5.0,40.79226962,-73.94535649,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,49.0,1,1.0,1.0,23,5.0,40.76405184,-73.98695258,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,52.0,1,1.0,1.0,54,4.0,40.75073099,-73.98673691,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,50.0,1,1.0,1.0,62,5.0,40.75034905,-73.97906659,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,50.0,3,2.0,1.5,415,4.5,40.82510113,-73.9428687,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,50.0,3,3.0,1.0,54,4.5,40.79866392,-73.93657754,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
88,40.0,2,1.0,1.0,189,4.5,40.8206888,-73.9554911,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
89,45.0,1,1.0,1.0,9,4.5,40.7219528,-73.98860818,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,50.0,3,1.0,1.0,133,4.5,40.82499523,-73.94132486,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
91,45.0,2,1.0,1.0,11,5.0,40.82659237,-73.93884224,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,51.0,1,1.0,2.0,0,0.0,40.80665342,-73.92737476,0,83%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,35.0,2,1.0,1.0,21,4.5,40.76473181,-73.95622787,0,97%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
94,40.0,2,1.0,1.0,11,4.5,40.82774046,-73.93934125,0,95%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
95,38.0,2,1.0,1.0,69,4.5,40.843293,-73.93664663,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
96,49.0,1,1.0,1.0,22,5.0,40.76417679,-73.98822037,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,42.0,2,1.0,1.0,55,5.0,40.83877642,-73.94731391,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
98,42.0,1,1.0,1.0,20,4.5,40.79860961,-73.94115927,1,99%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,47.0,2,1.0,1.0,42,4.5,40.76679623,-73.95399821,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,48.0,4,2.0,1.0,83,4.5,40.80158294,-73.94864782,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,53.0,2,1.0,1.0,124,4.5,40.84390141,-73.93743985,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,40.0,1,1.0,1.0,22,4.5,40.7790267,-73.95237571,0,69%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,50.0,2,1.0,1.0,51,4.5,40.77344086,-73.94910814,1,93%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,41.0,1,1.0,1.0,0,0.0,40.79819431,-73.94293405,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,49.0,2,1.0,1.0,62,4.5,40.84914975,-73.93848384,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106,35.0,2,1.0,3.0,7,3.5,40.80686497,-73.93821901,0,90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,49.0,2,1.0,1.5,31,4.5,40.79655249,-73.93848116,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
108,48.0,2,1.0,2.0,14,4.5,40.79978067,-73.96294982,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,45.0,1,1.0,1.0,58,5.0,40.811309,-73.95820441,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,50.0,2,1.0,1.0,108,4.5,40.82710562,-73.93988575,0,90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,46.0,2,1.0,1.0,32,5.0,40.76283257,-73.96896137,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112,32.0,1,1.0,1.0,69,4.5,40.82434141,-73.94816007,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,45.0,2,1.0,1.0,63,5.0,40.82335636,-73.95595637,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
114,53.0,1,1.0,1.0,106,5.0,40.74725579,-74.00213249,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,40.0,1,1.0,1.0,9,4.0,40.76002641,-73.94111179,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,49.0,2,1.0,1.5,34,5.0,40.80174448,-73.93924711,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,42.0,3,1.0,1.0,47,4.5,40.81911281,-73.95350631,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,49.0,2,1.0,2.0,68,4.5,40.77572645,-73.95188470000001,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
121,40.0,1,1.0,1.0,21,4.5,40.77926828,-73.95071321,0,69%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,45.0,1,1.0,1.0,54,4.5,40.80842571,-73.9399151,0,90%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,40.0,1,1.0,1.0,14,4.5,40.82622789,-73.93654659,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,40.0,2,1.0,1.0,30,5.0,40.8222604,-73.95569186,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,30.0,1,1.0,1.0,0,0.0,40.81295892,-73.94216829999999,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,35.0,2,1.0,1.0,29,4.5,40.87997019,-73.90035189,0,98%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,45.0,3,1.0,1.0,147,4.5,40.82609619,-73.95138647,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,46.0,2,1.0,2.0,0,0.0,40.82324644,-73.9524313,1,no info,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,43.0,2,1.0,1.0,34,4.0,40.82329198,-73.95002865,0,83%,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,30.0,2,1.0,1.0,0,0.0,40.76464218,-73.95830813,0,96%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
132,49.0,3,1.0,1.0,80,4.0,40.82267816,-73.94795757,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,50.0,2,1.0,1.0,24,5.0,40.79656698,-73.93913152,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,40.0,2,2.0,1.0,23,4.5,40.7646377,-73.99006419,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,45.0,2,1.0,1.0,55,4.5,40.82743814,-73.9470671,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,50.0,2,1.0,1.0,0,0.0,40.82411349,-73.95441391,1,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,51.0,2,1.0,1.0,51,4.5,40.81970105,-73.95326004,0,100%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
