,price,accommodates,beds,bathrooms,number_of_reviews,rating,superhost,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6,bedrooms_7,bedrooms_8,bedrooms_studio,room_type_Entire apartment,room_type_Entire condominium,room_type_Entire loft,room_type_Entire serviced apartment,room_type_Entire townhouse,room_type_Private room in apartment,room_type_others
115,40.0,1,1.0,1.0,9,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,49.0,2,1.0,1.5,34,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
117,42.0,3,1.0,1.0,47,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,49.0,2,1.0,2.0,68,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
121,40.0,1,1.0,1.0,21,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,45.0,1,1.0,1.0,54,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,40.0,1,1.0,1.0,14,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,40.0,2,1.0,1.0,30,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,30.0,1,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
126,35.0,2,1.0,1.0,29,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
127,45.0,3,1.0,1.0,147,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
128,46.0,2,1.0,2.0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,43.0,2,1.0,1.0,34,4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,30.0,2,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
132,49.0,3,1.0,1.0,80,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,50.0,2,1.0,1.0,24,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
134,40.0,2,2.0,1.0,23,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
135,45.0,2,1.0,1.0,55,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,50.0,2,1.0,1.0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
137,51.0,2,1.0,1.0,51,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
138,49.0,1,1.0,1.0,31,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
139,51.0,2,1.0,1.0,77,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,46.0,2,1.0,1.0,28,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,52.0,2,1.0,1.0,32,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
142,42.0,1,1.0,1.0,13,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,35.0,1,1.0,1.0,12,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,40.0,1,1.0,1.0,20,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,50.0,2,1.0,1.0,75,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
146,53.0,2,1.0,1.0,38,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,46.0,3,1.0,1.0,125,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,50.0,2,1.0,1.0,17,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
149,47.0,4,3.0,1.0,121,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,45.0,1,1.0,1.0,22,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,50.0,1,1.0,1.5,40,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
152,51.0,5,4.0,1.0,44,4.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
153,49.0,1,1.0,1.0,26,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,50.0,3,2.0,1.0,152,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,49.0,1,1.0,2.0,45,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,49.0,2,1.0,2.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,49.0,2,1.0,2.0,12,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
158,50.0,2,2.0,1.0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
159,50.0,2,1.0,1.0,19,5.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,43.0,2,1.0,1.0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
161,51.0,2,1.0,2.0,17,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
162,50.0,2,1.0,1.0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
163,49.0,2,1.0,1.0,12,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
164,45.0,1,1.0,1.0,30,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,45.0,2,1.0,1.0,38,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,45.0,2,2.0,1.0,15,4.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,32.0,3,2.0,1.0,5,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
168,45.0,2,1.0,1.0,31,4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,49.0,2,1.0,1.0,23,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
170,53.0,2,1.0,1.0,90,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
